Kenmerk,Actie,Klantnr,Naam,Land,Straat,Postcode,Plaats,Gewicht,Euro DV,Blok DV
80305396,Lossen,0000011637,Don Morris Palvelut Oy,FIN,Klaneettitie 12,420,HELSINKI,1056,2,
80305560,Lossen,0000020523,Aminah OY,FIN,Luutnantintie 5,410,HELSINKI,746,1,
80305398,Lossen,D8815,Jaihe Oy,FIN,Putkitie 6,880,HELSINKI,486,1,
80305515,Lossen,0000021030,Aurit Elintarvike,FIN,Hameentie 5b,530,HELSINKI,795,1,
80305537,Lossen,0000013141,DPY Trading Oy,FIN,Komeetankatu 1,2210,ESPOO,760,1,
80305424,Lossen,A16506,Xiao Hua Oy,FIN,Paalukylänpolku 9,1600,VANTAA,654,1,
80305559,Lossen,B21812,Atusa Cash & Curry Oy,FIN,JOKELANKATU 5,5800,HYVINKAA,546,1,
80305258,Lossen,A9354,Bai Wei Asian Shop,FIN,Kylmäsuonkatu 1,33720,TAMPERE,926,1,
80305399,Lossen,A8613,HST Asian Market,FIN,Närpesvägen 9,64200,NÄRPES,856,1,
80305583,Lossen,A4439,Synergy Scandic Oy,FIN,Östman Trading Oy Isokalliontie 3,67600,KOKKOLA,623,1,
80305214,Lossen,A6349,Aasia Market Oy,FIN,Asemakatu 32,90100,OULU,668,1,
